PGDP_ID;Provider_ID;Provider;Genus;Species;Origin;Sex
PD_0067;1043;Roos;Theropithecus;gelada;captive;M
PD_0199;09SNF1101115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;F
PD_0200;11SNF1101115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;F
PD_0201;19SNM1131115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;M
PD_0202;20SNF1131115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;F
PD_0203;21SNF1151115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;F
PD_0204;03ANM1080815;Knauf/Chuma/Roos;Papio;anubis;Arusha, Tanzania;M
PD_0205;05ANF1030116;Knauf/Chuma/Roos;Papio;anubis;Arusha, Tanzania;F
PD_0206;09ANF1040116;Knauf/Chuma/Roos;Papio;anubis;Arusha, Tanzania;F
PD_0207;12ANM1050116;Knauf/Chuma/Roos;Papio;anubis;Arusha, Tanzania;M
PD_0208;04NCF1140516;Knauf/Chuma/Roos;Papio;anubis;Ngorongoro, Tanzania;F
PD_0209;05NCF1150516;Knauf/Chuma/Roos;Papio;anubis;Ngorongoro, Tanzania;F
PD_0210;09NCF8170516;Knauf/Chuma/Roos;Papio;anubis;Ngorongoro, Tanzania;F
PD_0211;12NCF5210317;Knauf/Chuma/Roos;Papio;anubis;Ngorongoro, Tanzania;F
PD_0212;18NCF8220317;Knauf/Chuma/Roos;Papio;anubis;Ngorongoro, Tanzania;F
PD_0213;07RUF1090716;Knauf/Chuma/Roos;Papio;cynocephalus;Ruaha, Tanzania;F
PD_0214;09RUF1100716;Knauf/Chuma/Roos;Papio;cynocephalus;Ruaha, Tanzania;F
PD_0215;13RUM1130716;Knauf/Chuma/Roos;Papio;cynocephalus;Ruaha, Tanzania;M
PD_0216;16RUF8140716;Knauf/Chuma/Roos;Papio;cynocephalus;Ruaha, Tanzania;F
PD_0217;17RUM5140716;Knauf/Chuma/Roos;Papio;cynocephalus;Ruaha, Tanzania;M
PD_0218;02GNM1200916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;M
PD_0219;03GNF8200916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
PD_0220;08GNM1210916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;M
PD_0221;09GNF1210916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
PD_0222;10GNF1210916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
PD_0223;02UNM1220616;Knauf/Chuma/Roos;Papio;cynocephalus;Udzungwa, Tanzania;M
PD_0224;23UNF1120317;Knauf/Chuma/Roos;Papio;cynocephalus;Udzungwa, Tanzania;F
PD_0225;24UNF1150317;Knauf/Chuma/Roos;Papio;cynocephalus;Udzungwa, Tanzania;F
PD_0226;25UNF1150317;Knauf/Chuma/Roos;Papio;cynocephalus;Udzungwa, Tanzania;F
PD_0227;27UNM1160317;Knauf/Chuma/Roos;Papio;cynocephalus;Udzungwa, Tanzania;M
PD_0228;01MNM1300916;Knauf/Chuma/Roos;Papio;cynocephalus;Mahale, Tanzania;M
PD_0229;02MNM1300916;Knauf/Chuma/Roos;Papio;cynocephalus;Mahale, Tanzania;M
PD_0230;04MNM1300916;Knauf/Chuma/Roos;Papio;cynocephalus;Mahale, Tanzania;M
PD_0231;09MNM1011016;Knauf/Chuma/Roos;Papio;cynocephalus;Mahale, Tanzania;M
PD_0232;14MNF1041016;Knauf/Chuma/Roos;Papio;cynocephalus;Mahale, Tanzania;F
PD_0233;05KNM1121016;Knauf/Chuma/Roos;Papio;cynocephalus;Katavi, Tanzania;M
PD_0234;10KNM1131016;Knauf/Chuma/Roos;Papio;cynocephalus;Katavi, Tanzania;M
PD_0235;01SGM1270217;Knauf/Chuma/Roos;Papio;cynocephalus;Selous, Tanzania;M
PD_0236;04SGM2030317;Knauf/Chuma/Roos;Papio;cynocephalus;Selous, Tanzania;M
PD_0237;07SGF1050317;Knauf/Chuma/Roos;Papio;cynocephalus;Selous, Tanzania;F
PD_0238;19LMF8280815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0239;20LMF5280815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0240;21LMF2290815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0241;22LMF5290815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0242;23LMM1081215;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;M
PD_0243;01TNF1231215;Knauf/Chuma/Roos;Papio;anubis;Tarangire, Tanzania;F
PD_0244;04TNF1231215;Knauf/Chuma/Roos;Papio;anubis;Tarangire, Tanzania;F
PD_0265;122;Knauf/Chuma/Roos;Papio;anubis;Tarangire, Tanzania;F
PD_0266;123;Knauf/Chuma/Roos;Papio;anubis;Tarangire, Tanzania;M
PD_0267;124;Knauf/Chuma/Roos;Papio;anubis;Tarangire, Tanzania;M
PD_0268;125;Knauf/Chuma/Roos;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0269;126;Knauf/Chuma/Roos;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0270;127;Knauf/Chuma/Roos;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0271;128;Knauf/Chuma/Roos;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0272;129;Knauf/Chuma/Roos;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0390;T13;Zinner/Fischer;Papio;papio;Niokolo-Koba, Senegal;F
PD_0391;T19;Zinner/Fischer;Papio;papio;Niokolo-Koba, Senegal;F
PD_0392;T44;Zinner/Fischer;Papio;papio;Niokolo-Koba, Senegal;F
PD_0393;T45;Zinner/Fischer;Papio;papio;Niokolo-Koba, Senegal;F
PD_0394;T63;Zinner/Fischer;Papio;papio;Niokolo-Koba, Senegal;F
PD_0395;T15;Zinner/Fischer;Papio;papio;Niokolo-Koba, Senegal;M
PD_0396;T27;Zinner/Fischer;Papio;papio;Niokolo-Koba, Senegal;M
PD_0397;T35;Zinner/Fischer;Papio;papio;Niokolo-Koba, Senegal;M
PD_0398;T37;Zinner/Fischer;Papio;papio;Niokolo-Koba, Senegal;M
PD_0399;T49;Zinner/Fischer;Papio;papio;Niokolo-Koba, Senegal;M
PD_0400;T51;Zinner/Fischer;Papio;papio;Niokolo-Koba, Senegal;M
PD_0401;T66;Zinner/Fischer;Papio;papio;Niokolo-Koba, Senegal;M
PD_0492;1 / 30LMF5190416;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0493;12 / 08SNM1091115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;M
PD_0494;18 / 24SNM5151115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;M
PD_0495;19 / 25SNF1161115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;F
PD_0496;20 / 26SNM1181115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;M
PD_0497;21 / 27SNM1191115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;M
PD_0498;23 / 31SNM1201115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;M
PD_0499;24 / 32SNF1201115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;F
PD_0500;25 / 33SNF1201115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;F
PD_0501;26 / 37SNF1221115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;F
PD_0502;38 / 10NCM8170516;Knauf/Chuma/Roos;Papio;anubis;Ngorongoro, Tanzania;M
PD_0503;44 / 14RUF5130716;Knauf/Chuma/Roos;Papio;cynocephalus;Ruaha, Tanzania;F
PD_0504;56 / 13GNM1210916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;M
PD_0505;57 / 19GNM2220916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;M
PD_0506;58 / 20GNF5220916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
PD_0507;59 / 21GNF1220916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
PD_0508;60 / 22GNM1220916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;M
PD_0509;61 / 23GNF1220916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
PD_0637;9 / 5MKM1130715;Knauf/Chuma/Roos;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0641;31 / 15TNF2261215;Knauf/Chuma/Roos;Papio;anubis;Tarangire, Tanzania;F
PD_0642;32 / 23TNM1311215;Knauf/Chuma/Roos;Papio;anubis;Tarangire, Tanzania;M
PD_0649;62 / 24GNF1220916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
PD_0650;63 / 26GNM1230916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;M
PD_0651;64 / 28GNF1230916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
PD_0652;65 / 30GNF1230916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
PD_0653;66 / 32GNF1230916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
PD_0654;67 / 33GNM1230916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;M
PD_0658;79 / 08MNM1011016;Knauf/Chuma/Roos;Papio;cynocephalus;Mahale, Tanzania;M
PD_0659;81 / 13MNF1031016;Knauf/Chuma/Roos;Papio;cynocephalus;Mahale, Tanzania;F
PD_0662;85 / 01UGF5101016;Knauf/Chuma/Roos;Papio;cynocephalus;Issa Valley, Tanzania;F
PD_0674;102 / 04LMF8160815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0675;103 / 06LMF5170815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0676;104 / 07LMF5170815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0677;105 / 11LMF5200815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0678;106 / 12LMF2210815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0679;107 / 13LMM8210815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;M
PD_0680;108 / 14LMF5220815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0681;109 / 16LMM5250815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;M
PD_0682;110 / 17LMF5270815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0683;111 / 18LMF5270815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0684;117 / 24LMM2081215;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;M
PD_0685;118 / 25LMF1081215;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0686;119 / 27LMF1081215;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
PD_0687;130 / 12MKM1150715;Knauf/Chuma/Roos;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0688;131 / 13MKM1150715;Knauf/Chuma/Roos;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0689;132 / 14MKM1160715;Knauf/Chuma/Roos;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0690;133 / 16MKF1160715;Knauf/Chuma/Roos;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0691;134 / 19MKM1170715;Knauf/Chuma/Roos;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0692;35221_BZ12030;Rogers/Jolly/Phillips-Conroy;Papio;ursinus (grayfoot);Dendro Park, Zambia;M
PD_0693;35225_BZ12031;Rogers/Jolly/Phillips-Conroy;Papio;ursinus (grayfoot);Dendro Park, Zambia;F
PD_0694;35227_BZ12032;Rogers/Jolly/Phillips-Conroy;Papio;ursinus (grayfoot);Dendro Park, Zambia;F
PD_0695;35229_BZ12033;Rogers/Jolly/Phillips-Conroy;Papio;ursinus (grayfoot);Dendro Park, Zambia;F
PD_0696;39876_97070;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0697;39877_97071;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0698;39878_97073;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;F
PD_0699;39880_97081;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0700;39881_97083;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;F
PD_0701;39882_97085;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;F
PD_0702;39883_97087;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0703;39884_97089;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0704;39885_97090;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0705;39887_97093;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0706;39888_97094;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0707;39889_97096;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0708;39890_97098;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;F
PD_0709;39891_97099;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0710;39893_97101;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;F
PD_0711;39894_97103;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0712;39895_97105;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0713;39896_97106;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0714;39899_97113;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0715;39900_97114;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0716;39901_97115;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0717;39902_97118;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0718;39904_97122;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0719;39905_97123;Jolly/Phillips-Conroy;Papio;hamadryas;Filoha, Ethiopia;M
PD_0720;39955_CK_01;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0721;39956_CK_02;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;F
PD_0722;39957_CK_05;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0723;39958_RY_01;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0724;39959_RY_15;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;F
PD_0725;39961_CK_03;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0726;39962_CK_04;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;F
PD_0727;39964_CK_06;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0728;39965_CK_07;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0729;39966_CM_01;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0730;39967_CM_02;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;F
PD_0731;39968_CM_03;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0732;39969_OP_01;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0733;39971_RY_02;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0734;39972_RY_03;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0735;39973_RY_04;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0736;39974_RY_05;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;F
PD_0737;39975_RY_07;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;F
PD_0738;39976_RY_08;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;F
PD_0739;39977_RY_09;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0740;39978_RY_10;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0741;39979_RY_11;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0742;39980_RY_12;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0743;39981_RY_13;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;M
PD_0744;39984_RY_16;Rogers ;Papio;anubis;Gog Woreda, Gambella region, Ethiopia;F
PD_0745;16084_5012;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0746;16087_5015;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0747;16092_5021;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0748;16104_9004;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0749;34373_BZ11016;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0750;34374_BZ11017;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0751;34375_BZ11018;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0752;16049_3114;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0753;16103_7001;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0754;16071_4001;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0755;16075_4005;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0756;16080_5004;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0757;16082_5009;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0758;34424_BZ11072;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0759;34426_BZ11074;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0760;34427_BZ11075;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0761;16169_IK02;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0762;16170_IK03;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0763;15972_KZ01;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0764;15973_KZ03;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0765;15974_KZ04;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0766;15975_KZ05;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0767;15977_KZ07;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0768;15978_KZ08;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0769;15989_1005;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0770;16059_3124;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0771;16002_2004;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0772;16006_2008;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0773;16008_2010;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0774;16035_3003;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0775;16074_4004;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0776;34376_BZ11019;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0777;34385_BZ11029;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0778;34390_BZ11034;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0779;34391_BZ11035;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0780;34393_BZ11037;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0781;34394_BZ11038;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0782;34395_BZ11039;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0783;34396_BZ11040;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0784;34397_BZ11041;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0785;34407_BZ11053;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0786;34408_BZ11054;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0787;34410_BZ11057;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0788;34413_BZ11060;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0789;34417_BZ11064;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0790;34418_BZ11065;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0791;34419_BZ11066;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0792;34420_BZ11067;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0793;34422_BZ11070;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0794_BAB;34423_BZ11071;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M